id,bc,eta_f_type,eta_f_start,eta_f_stop,eta_f_init,eta_f_final,G_f_type,G_f_start,G_f_stop,G_f_init,G_f_final
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
