id,bc,eta_f_type,eta_f_start,eta_f_stop,eta_f_init,eta_f_final,G_f_type,G_f_start,G_f_stop,G_f_init,G_f_final
BoilerVarSize2-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize2-bc01-s1-041,1,1,58,672,0,0.04,0,0,0,0,0
BoilerVarSize2-bc01-s1-070,1,1,34,672,0,0.05,0,0,0,0,0
BoilerVarSize2-bc01-s1-038,1,2,66,672,0,0.18,0,0,0,0,0
BoilerVarSize2-bc01-s1-009,1,2,29,672,0,0.8,0,0,0,0,0
BoilerVarSize2-bc01-s1-049,1,2,134,672,0,0.21,0,0,0,0,0
BoilerVarSize2-bc01-s1-040,1,1,144,672,0,0.08,0,0,0,0,0
BoilerVarSize2-bc01-s1-034,1,2,173,672,0,0.23,0,0,0,0,0
BoilerVarSize2-bc01-s1-076,1,1,320,672,0,0.02,0,0,0,0,0
BoilerVarSize2-bc01-s1-014,1,1,287,672,0,0.38,0,0,0,0,0
BoilerVarSize2-bc01-s1-064,1,1,310,672,0,0.4,0,0,0,0,0
BoilerVarSize2-bc01-s1-084,1,2,307,672,0,0.46,0,0,0,0,0
BoilerVarSize2-bc01-s1-015,1,1,209,672,0,0.58,0,0,0,0,0
BoilerVarSize2-bc01-s1-065,1,2,413,672,0,0.1,0,0,0,0,0
BoilerVarSize2-bc01-s1-075,1,2,367,672,0,0.33,0,0,0,0,0
BoilerVarSize2-bc01-s1-017,1,2,421,672,0,0.34,0,0,0,0,0
BoilerVarSize2-bc01-s1-099,1,1,483,672,0,0.07,0,0,0,0,0
BoilerVarSize2-bc01-s1-003,1,1,358,672,0,0.39,0,0,0,0,0
BoilerVarSize2-bc01-s1-083,1,1,475,672,0,0.74,0,0,0,0,0
BoilerVarSize2-bc01-s1-031,1,1,550,672,0,0.51,0,0,0,0,0
BoilerVarSize2-bc01-s1-085,1,2,653,672,0,0.19,0,0,0,0,0
BoilerVarSize2-bc01-s1-056,1,2,624,672,0,0.37,0,0,0,0,0
BoilerVarSize2-bc01-s1-054,1,1,512,672,0,0.36,0,0,0,0,0
BoilerVarSize2-bc01-s1-045,1,2,589,672,0,0.35,0,0,0,0,0
BoilerVarSize2-bc01-s1-028,1,1,627,672,0,0.02,0,0,0,0,0
BoilerVarSize2-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize2-bc02-s1-069,2,2,89,672,0,0.17,0,0,0,0,0
BoilerVarSize2-bc02-s1-053,2,2,77,672,0,0.35,0,0,0,0,0
BoilerVarSize2-bc02-s1-026,2,2,16,672,0,0.22,0,0,0,0,0
BoilerVarSize2-bc02-s1-044,2,2,11,672,0,0.04,0,0,0,0,0
BoilerVarSize2-bc02-s1-095,2,2,28,672,0,0.06,0,0,0,0,0
BoilerVarSize2-bc02-s1-021,2,2,45,672,0,0.31,0,0,0,0,0
BoilerVarSize2-bc02-s1-025,2,1,184,672,0,0.01,0,0,0,0,0
BoilerVarSize2-bc02-s1-094,2,2,279,672,0,0.19,0,0,0,0,0
BoilerVarSize2-bc02-s1-001,2,2,313,672,0,0.39,0,0,0,0,0
BoilerVarSize2-bc02-s1-093,2,2,295,672,0,0.04,0,0,0,0,0
BoilerVarSize2-bc02-s1-097,2,1,202,672,0,0.23,0,0,0,0,0
BoilerVarSize2-bc02-s1-004,2,2,336,672,0,0.1,0,0,0,0,0
BoilerVarSize2-bc02-s1-033,2,1,490,672,0,0.11,0,0,0,0,0
BoilerVarSize2-bc02-s1-045,2,2,353,672,0,0.01,0,0,0,0,0
BoilerVarSize2-bc02-s1-042,2,2,481,672,0,0.04,0,0,0,0,0
BoilerVarSize2-bc02-s1-087,2,2,445,672,0,0.14,0,0,0,0,0
BoilerVarSize2-bc02-s1-013,2,2,503,672,0,0.46,0,0,0,0,0
BoilerVarSize2-bc02-s1-091,2,1,372,672,0,0.25,0,0,0,0,0
BoilerVarSize2-bc02-s1-022,2,2,563,672,0,0.05,0,0,0,0,0
BoilerVarSize2-bc02-s1-034,2,2,650,672,0,0.03,0,0,0,0,0
BoilerVarSize2-bc02-s1-016,2,2,555,672,0,0.3,0,0,0,0,0
BoilerVarSize2-bc02-s1-063,2,2,583,672,0,0.19,0,0,0,0,0
BoilerVarSize2-bc02-s1-085,2,1,523,672,0,0.48,0,0,0,0,0
BoilerVarSize2-bc02-s1-036,2,1,615,672,0,0.13,0,0,0,0,0
BoilerVarSize2-bc03-s0-000,3,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize2-bc03-s1-063,3,1,142,672,0,0.12,0,0,0,0,0
BoilerVarSize2-bc03-s1-079,3,1,6,672,0,0.0,0,0,0,0,0
BoilerVarSize2-bc03-s1-049,3,1,160,672,0,0.12,0,0,0,0,0
BoilerVarSize2-bc03-s1-081,3,2,30,672,0,0.26,0,0,0,0,0
BoilerVarSize2-bc03-s1-067,3,2,100,672,0,0.27,0,0,0,0,0
BoilerVarSize2-bc03-s1-008,3,2,43,672,0,0.21,0,0,0,0,0
BoilerVarSize2-bc03-s1-019,3,1,317,672,0,0.08,0,0,0,0,0
BoilerVarSize2-bc03-s1-069,3,2,240,672,0,0.52,0,0,0,0,0
BoilerVarSize2-bc03-s1-036,3,2,255,672,0,0.13,0,0,0,0,0
BoilerVarSize2-bc03-s1-041,3,1,179,672,0,0.2,0,0,0,0,0
BoilerVarSize2-bc03-s1-077,3,2,272,672,0,0.25,0,0,0,0,0
BoilerVarSize2-bc03-s1-086,3,2,210,672,0,0.04,0,0,0,0,0
BoilerVarSize2-bc03-s1-096,3,1,500,672,0,0.33,0,0,0,0,0
BoilerVarSize2-bc03-s1-034,3,1,362,672,0,0.01,0,0,0,0,0
BoilerVarSize2-bc03-s1-070,3,2,413,672,0,0.08,0,0,0,0,0
BoilerVarSize2-bc03-s1-076,3,1,445,672,0,0.22,0,0,0,0,0
BoilerVarSize2-bc03-s1-045,3,1,472,672,0,0.35,0,0,0,0,0
BoilerVarSize2-bc03-s1-050,3,1,355,672,0,0.64,0,0,0,0,0
BoilerVarSize2-bc03-s1-030,3,2,642,672,0,0.08,0,0,0,0,0
BoilerVarSize2-bc03-s1-060,3,1,524,672,0,0.18,0,0,0,0,0
BoilerVarSize2-bc03-s1-033,3,1,590,672,0,0.26,0,0,0,0,0
BoilerVarSize2-bc03-s1-039,3,1,640,672,0,0.07,0,0,0,0,0
BoilerVarSize2-bc03-s1-085,3,2,610,672,0,0.14,0,0,0,0,0
BoilerVarSize2-bc03-s1-044,3,2,554,672,0,0.03,0,0,0,0,0
BoilerVarSize2-bc04-s0-000,4,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize2-bc04-s1-095,4,2,32,672,0,0.2,0,0,0,0,0
BoilerVarSize2-bc04-s1-074,4,1,13,672,0,0.45,0,0,0,0,0
BoilerVarSize2-bc04-s1-044,4,2,57,672,0,0.34,0,0,0,0,0
BoilerVarSize2-bc04-s1-045,4,2,32,672,0,0.21,0,0,0,0,0
BoilerVarSize2-bc04-s1-096,4,2,167,672,0,0.47,0,0,0,0,0
BoilerVarSize2-bc04-s1-013,4,2,89,672,0,0.24,0,0,0,0,0
BoilerVarSize2-bc04-s1-047,4,2,185,672,0,0.02,0,0,0,0,0
BoilerVarSize2-bc04-s1-008,4,2,259,672,0,0.5,0,0,0,0,0
BoilerVarSize2-bc04-s1-060,4,1,278,672,0,0.13,0,0,0,0,0
BoilerVarSize2-bc04-s1-030,4,2,278,672,0,0.05,0,0,0,0,0
BoilerVarSize2-bc04-s1-083,4,2,267,672,0,0.25,0,0,0,0,0
BoilerVarSize2-bc04-s1-031,4,1,224,672,0,0.15,0,0,0,0,0
BoilerVarSize2-bc04-s1-015,4,1,498,672,0,0.06,0,0,0,0,0
BoilerVarSize2-bc04-s1-048,4,2,460,672,0,0.06,0,0,0,0,0
BoilerVarSize2-bc04-s1-081,4,1,425,672,0,0.19,0,0,0,0,0
BoilerVarSize2-bc04-s1-026,4,2,381,672,0,0.17,0,0,0,0,0
BoilerVarSize2-bc04-s1-001,4,2,429,672,0,0.2,0,0,0,0,0
BoilerVarSize2-bc04-s1-027,4,2,396,672,0,0.29,0,0,0,0,0
BoilerVarSize2-bc04-s1-082,4,1,511,672,0,0.16,0,0,0,0,0
BoilerVarSize2-bc04-s1-016,4,2,633,672,0,0.07,0,0,0,0,0
